GeoName,Avg.Salary
"Wichita, KS (Metropolitan Statistical Area)",49977
"Wichita Falls, TX (Metropolitan Statistical Area)",43629
"Williamsport, PA (Metropolitan Statistical Area)",41657
"Wilmington, NC (Metropolitan Statistical Area)",42722
"Winchester, VA-WV (Metropolitan Statistical Area)",46884
"Winston-Salem, NC (Metropolitan Statistical Area)",45136
"Worcester, MA-CT (Metropolitan Statistical Area)",48132
"Yakima, WA (Metropolitan Statistical Area)",41237
"York-Hanover, PA (Metropolitan Statistical Area)",45782
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",43587
"Yuba City, CA (Metropolitan Statistical Area)",40320
"Yuma, AZ (Metropolitan Statistical Area)",35135
