City_State,RPP_c,vals
"Brunswick, GA (Metropolitan Statistical Area)",RPPs: All items,85.6
"Brunswick, GA (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Brunswick, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,73.1
"Brunswick, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",RPPs: All items,94.4
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",  RPPs: Goods,98
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",  RPPs: Services: Rents,78.2
"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Burlington, NC (Metropolitan Statistical Area)",RPPs: All items,89.4
"Burlington, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Burlington, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,71.2
"Burlington, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",RPPs: All items,104.6
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",  RPPs: Goods,98
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",  RPPs: Services: Rents,126.3
"Burlington-South Burlington, VT (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"California-Lexington Park, MD (Metropolitan Statistical Area)",RPPs: All items,100.3
"California-Lexington Park, MD (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"California-Lexington Park, MD (Metropolitan Statistical Area)",  RPPs: Services: Rents,122.3
"California-Lexington Park, MD (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Canton-Massillon, OH (Metropolitan Statistical Area)",RPPs: All items,88.6
"Canton-Massillon, OH (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Canton-Massillon, OH (Metropolitan Statistical Area)",  RPPs: Services: Rents,64.9
"Canton-Massillon, OH (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",RPPs: All items,95.9
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",  RPPs: Services: Rents,96.3
"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",RPPs: All items,82.7
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",  RPPs: Goods,92.9
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,63.9
"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",  RPPs: Services: Other,90.2
"Carbondale-Marion, IL (Metropolitan Statistical Area)",RPPs: All items,83.5
"Carbondale-Marion, IL (Metropolitan Statistical Area)",  RPPs: Goods,92.9
"Carbondale-Marion, IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,65.9
"Carbondale-Marion, IL (Metropolitan Statistical Area)",  RPPs: Services: Other,90.2
"Carson City, NV (Metropolitan Statistical Area)",RPPs: All items,95.6
"Carson City, NV (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Carson City, NV (Metropolitan Statistical Area)",  RPPs: Services: Rents,91.7
"Carson City, NV (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Casper, WY (Metropolitan Statistical Area)",RPPs: All items,97.6
"Casper, WY (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Casper, WY (Metropolitan Statistical Area)",  RPPs: Services: Rents,95.2
"Casper, WY (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Cedar Rapids, IA (Metropolitan Statistical Area)",RPPs: All items,89.3
"Cedar Rapids, IA (Metropolitan Statistical Area)",  RPPs: Goods,96.7
"Cedar Rapids, IA (Metropolitan Statistical Area)",  RPPs: Services: Rents,69.5
"Cedar Rapids, IA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",RPPs: All items,94.2
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,77.6
"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Champaign-Urbana, IL (Metropolitan Statistical Area)",RPPs: All items,93.7
"Champaign-Urbana, IL (Metropolitan Statistical Area)",  RPPs: Goods,96.8
"Champaign-Urbana, IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,88.5
"Champaign-Urbana, IL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Charleston, WV (Metropolitan Statistical Area)",RPPs: All items,87.3
"Charleston, WV (Metropolitan Statistical Area)",  RPPs: Goods,97.4
"Charleston, WV (Metropolitan Statistical Area)",  RPPs: Services: Rents,61.7
"Charleston, WV (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",RPPs: All items,96.2
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,97.6
"Charleston-North Charleston, SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",RPPs: All items,93.5
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",  RPPs: Goods,97.4
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,86.5
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Charlottesville, VA (Metropolitan Statistical Area)",RPPs: All items,97.9
"Charlottesville, VA (Metropolitan Statistical Area)",  RPPs: Goods,96.9
"Charlottesville, VA (Metropolitan Statistical Area)",  RPPs: Services: Rents,108.7
"Charlottesville, VA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Chattanooga, TN-GA (Metropolitan Statistical Area)",RPPs: All items,89.3
"Chattanooga, TN-GA (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Chattanooga, TN-GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,70.8
"Chattanooga, TN-GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Cheyenne, WY (Metropolitan Statistical Area)",RPPs: All items,97.4
"Cheyenne, WY (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Cheyenne, WY (Metropolitan Statistical Area)",  RPPs: Services: Rents,94.6
"Cheyenne, WY (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",RPPs: All items,103.8
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",  RPPs: Goods,100.1
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",  RPPs: Services: Rents,114.8
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",  RPPs: Services: Other,102.2
"Chico, CA (Metropolitan Statistical Area)",RPPs: All items,99
"Chico, CA (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Chico, CA (Metropolitan Statistical Area)",  RPPs: Services: Rents,101.6
"Chico, CA (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",RPPs: All items,89.6
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",  RPPs: Goods,94.6
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,78.7
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",  RPPs: Services: Other,90.9
"Clarksville, TN-KY (Metropolitan Statistical Area)",RPPs: All items,90.4
"Clarksville, TN-KY (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Clarksville, TN-KY (Metropolitan Statistical Area)",  RPPs: Services: Rents,76.9
"Clarksville, TN-KY (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Cleveland, TN (Metropolitan Statistical Area)",RPPs: All items,83.4
"Cleveland, TN (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Cleveland, TN (Metropolitan Statistical Area)",  RPPs: Services: Rents,66.4
"Cleveland, TN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",RPPs: All items,90.2
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",  RPPs: Goods,95.9
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",  RPPs: Services: Rents,77.9
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",  RPPs: Services: Other,90.9
"Coeur d'Alene, ID (Metropolitan Statistical Area)",RPPs: All items,94
"Coeur d'Alene, ID (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Coeur d'Alene, ID (Metropolitan Statistical Area)",  RPPs: Services: Rents,85.7
"Coeur d'Alene, ID (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"College Station-Bryan, TX (Metropolitan Statistical Area)",RPPs: All items,93.3
"College Station-Bryan, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"College Station-Bryan, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.4
"College Station-Bryan, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Colorado Springs, CO (Metropolitan Statistical Area)",RPPs: All items,99.6
"Colorado Springs, CO (Metropolitan Statistical Area)",  RPPs: Goods,95.5
"Colorado Springs, CO (Metropolitan Statistical Area)",  RPPs: Services: Rents,104.8
"Colorado Springs, CO (Metropolitan Statistical Area)",  RPPs: Services: Other,101.8
"Columbia, MO (Metropolitan Statistical Area)",RPPs: All items,91.4
"Columbia, MO (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Columbia, MO (Metropolitan Statistical Area)",  RPPs: Services: Rents,77.7
"Columbia, MO (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Columbia, SC (Metropolitan Statistical Area)",RPPs: All items,91.8
"Columbia, SC (Metropolitan Statistical Area)",  RPPs: Goods,97.3
"Columbia, SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,80.4
"Columbia, SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Columbus, GA-AL (Metropolitan Statistical Area)",RPPs: All items,89.3
"Columbus, GA-AL (Metropolitan Statistical Area)",  RPPs: Goods,97.8
"Columbus, GA-AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.5
"Columbus, GA-AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Columbus, IN (Metropolitan Statistical Area)",RPPs: All items,88.8
"Columbus, IN (Metropolitan Statistical Area)",  RPPs: Goods,92.9
"Columbus, IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,80.8
"Columbus, IN (Metropolitan Statistical Area)",  RPPs: Services: Other,90.2
"Columbus, OH (Metropolitan Statistical Area)",RPPs: All items,93
"Columbus, OH (Metropolitan Statistical Area)",  RPPs: Goods,96.9
"Columbus, OH (Metropolitan Statistical Area)",  RPPs: Services: Rents,84.2
"Columbus, OH (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Corpus Christi, TX (Metropolitan Statistical Area)",RPPs: All items,93.4
"Corpus Christi, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Corpus Christi, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,86.5
"Corpus Christi, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Corvallis, OR (Metropolitan Statistical Area)",RPPs: All items,100.3
"Corvallis, OR (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Corvallis, OR (Metropolitan Statistical Area)",  RPPs: Services: Rents,110.9
