"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",84.5
"Medford, OR (Metropolitan Statistical Area)",97.6
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",91
"Merced, CA (Metropolitan Statistical Area)",94.1
"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",107.6
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",85.7
"Midland, MI (Metropolitan Statistical Area)",91.8
"Midland, TX (Metropolitan Statistical Area)",100.8
"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",95.6
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",102.3
"Missoula, MT (Metropolitan Statistical Area)",95.8
"Mobile, AL (Metropolitan Statistical Area)",87.4
"Modesto, CA (Metropolitan Statistical Area)",97.8
"Monroe, LA (Metropolitan Statistical Area)",84.7
"Monroe, MI (Metropolitan Statistical Area)",94
"Montgomery, AL (Metropolitan Statistical Area)",89.1
"Morgantown, WV (Metropolitan Statistical Area)",91.5
"Morristown, TN (Metropolitan Statistical Area)",79.5
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",97.9
"Muncie, IN (Metropolitan Statistical Area)",86.9
"Muskegon, MI (Metropolitan Statistical Area)",87.5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",91.1
"Napa, CA (Metropolitan Statistical Area)",121.9
"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",100.9
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",94.4
"New Bern, NC (Metropolitan Statistical Area)",85.4
"New Haven-Milford, CT (Metropolitan Statistical Area)",111.4
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",95.2
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",122
"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",89
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",99
"Norwich-New London, CT (Metropolitan Statistical Area)",101
"Ocala, FL (Metropolitan Statistical Area)",90.2
"Ocean City, NJ (Metropolitan Statistical Area)",106.1
"Odessa, TX (Metropolitan Statistical Area)",96.8
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",95.1
"Oklahoma City, OK (Metropolitan Statistical Area)",91.6
"Olympia-Tumwater, WA (Metropolitan Statistical Area)",106.9
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",93.4
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",98
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",91.1
"Owensboro, KY (Metropolitan Statistical Area)",87
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",117.2
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",95.6
"Panama City, FL (Metropolitan Statistical Area)",93.7
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",86.9
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",92.3
"Peoria, IL (Metropolitan Statistical Area)",90.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",105.9
"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",97.1
"Pine Bluff, AR (Metropolitan Statistical Area)",82.9
"Pittsburgh, PA (Metropolitan Statistical Area)",94.3
"Pittsfield, MA (Metropolitan Statistical Area)",96.2
"Pocatello, ID (Metropolitan Statistical Area)",88.9
"Portland-South Portland, ME (Metropolitan Statistical Area)",101.7
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",101.7
"Port St. Lucie, FL (Metropolitan Statistical Area)",96.7
"Prescott, AZ (Metropolitan Statistical Area)",95.6
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",99.7
"Provo-Orem, UT (Metropolitan Statistical Area)",96.8
"Pueblo, CO (Metropolitan Statistical Area)",91.5
"Punta Gorda, FL (Metropolitan Statistical Area)",94.7
"Racine, WI (Metropolitan Statistical Area)",93.2
"Raleigh, NC (Metropolitan Statistical Area)",95.9
"Rapid City, SD (Metropolitan Statistical Area)",90.8
"Reading, PA (Metropolitan Statistical Area)",96.2
"Redding, CA (Metropolitan Statistical Area)",97.4
"Reno, NV (Metropolitan Statistical Area)",98.7
"Richmond, VA (Metropolitan Statistical Area)",96.1
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",107.4
"Roanoke, VA (Metropolitan Statistical Area)",90.3
"Rochester, MN (Metropolitan Statistical Area)",93.9
"Rochester, NY (Metropolitan Statistical Area)",98
"Rockford, IL (Metropolitan Statistical Area)",89.9
"Rocky Mount, NC (Metropolitan Statistical Area)",83.9
"Rome, GA (Metropolitan Statistical Area)",81.1
"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",102
"Saginaw, MI (Metropolitan Statistical Area)",88.8
"St. Cloud, MN (Metropolitan Statistical Area)",91.8
"St. George, UT (Metropolitan Statistical Area)",94.6
"St. Joseph, MO-KS (Metropolitan Statistical Area)",86.5
"St. Louis, MO-IL (Metropolitan Statistical Area)",90.8
"Salem, OR (Metropolitan Statistical Area)",95.9
"Salinas, CA (Metropolitan Statistical Area)",108.1
"Salisbury, MD-DE (Metropolitan Statistical Area)",89.3
"Salt Lake City, UT (Metropolitan Statistical Area)",99.4
"San Angelo, TX (Metropolitan Statistical Area)",93.9
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",94.4
"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",116.3
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",124.7
