"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",48779
"31180","Lubbock, TX (Metropolitan Statistical Area)",41326
"31340","Lynchburg, VA (Metropolitan Statistical Area)",40328
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",42819
"31460","Madera, CA (Metropolitan Statistical Area)",37823
"31540","Madison, WI (Metropolitan Statistical Area)",53934
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",51071
"31740","Manhattan, KS (Metropolitan Statistical Area)",45055
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)",46342
"31900","Mansfield, OH (Metropolitan Statistical Area)",40799
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",28943
"32780","Medford, OR (Metropolitan Statistical Area)",42464
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",46344
"32900","Merced, CA (Metropolitan Statistical Area)",37824
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",46295
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",43771
"33220","Midland, MI (Metropolitan Statistical Area)",49499
"33260","Midland, TX (Metropolitan Statistical Area)",72322
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",52762
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",54478
"33540","Missoula, MT (Metropolitan Statistical Area)",45400
"33660","Mobile, AL (Metropolitan Statistical Area)",39895
"33700","Modesto, CA (Metropolitan Statistical Area)",40754
"33740","Monroe, LA (Metropolitan Statistical Area)",43542
"33780","Monroe, MI (Metropolitan Statistical Area)",44918
"33860","Montgomery, AL (Metropolitan Statistical Area)",44069
"34060","Morgantown, WV (Metropolitan Statistical Area)",41225
"34100","Morristown, TN (Metropolitan Statistical Area)",41844
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",46849
"34620","Muncie, IN (Metropolitan Statistical Area)",38331
"34740","Muskegon, MI (Metropolitan Statistical Area)",39908
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",38482
"34900","Napa, CA (Metropolitan Statistical Area)",53430
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",81999
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",54788
"35100","New Bern, NC (Metropolitan Statistical Area)",46451
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",45448
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",48618
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",53197
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)",47731
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",51222
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",52243
"36100","Ocala, FL (Metropolitan Statistical Area)",37371
"36140","Ocean City, NJ (Metropolitan Statistical Area)",50809
"36220","Odessa, TX (Metropolitan Statistical Area)",37810
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",40928
